ModelCode,MinResistance,MaxResistance
DHEHK12011,101.55,118.51
DHEHK12016,67.53,78.81
DHEHK12021,50.77,59.25
DHEHK12027,40.56,47.33
DHEHK12032,33.85,39.50
DHEHK12038,28.86,33.68
DHEHK12043,25.39,29.63
DHEHK12051,21.09,24.61
DHEHK12064,16.82,19.63
DHEHK12073,14.90,17.39
DHEHK12083,12.99,15.16
DHEHK12092,11.82,13.79
DHEHK120102,10.63,12.40
DHEHK120113,9.62,11.23
DHEHK120134,8.06,9.41
DHEHK24011,406.19,474.03
DHEHK24016,270.12,315.24
DHEHK24021,203.09,237.01
DHEHK24027,162.23,189.33
DHEHK24032,135.40,158.01
DHEHK24038,115.44,134.72
DHEHK24043,101.55,118.51
DHEHK24053,81.24,94.81
DHEHK24064,67.70,79.00
DHEHK24075,57.72,67.36
DHEHK24085,50.77,59.25
DHEHK240103,42.18,49.23
DHEHK240129,33.64,39.26
DHEHK240145,29.80,34.78
DHEHK240167,25.99,30.33
DHEHK240183,23.64,27.58
DHEHK240204,21.25,24.80
DHEHK240225,19.24,22.45
DHEHK240269,16.13,18.82
